"BehaviorSpace results (NetLogo 6.2.0)"
"TP.nlogo"
"tb3line2"
"11/12/2021 15:28:13:319 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10"
"perc_limpadores?","Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",
"nlimpadores","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"depositos","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"transporte","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"energiaAlimento","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"nsuperlimpador","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"energiaInicial","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"super_limpador?","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"alimento","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"ncomiloes","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"perc_comiloes?","Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",,"Base",
"lixo","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"lixotoxico","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[initial & final values]","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks","count limpadores","ticks"
,"0","100","0","100","0","100","0","100","0","100","0","100","0","100","0","100","0","100","0","100"
